tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0039123,tvSeries,Kraft Theatre,Kraft Television Theatre,0,1947,1958,60,Drama,7.9,233
tt0039125,tvSeries,Public Prosecutor,Public Prosecutor,0,1947,1951,20,"Crime, Drama, Mystery",6.0,35
tt0040021,tvSeries,Actor's Studio,Actor's Studio,0,1948,1950,30,Drama,7.1,94
tt0040041,tvSeries,The Milton Berle Show,Texaco Star Theatre Starring Milton Berle,0,1948,1956,60,"Comedy, Family",7.5,168
tt0040042,tvSeries,The Morey Amsterdam Show,The Morey Amsterdam Show,0,1948,1950,30,"Comedy, Family, Music",7.7,44
tt0040048,tvSeries,Perry Como's Kraft Music Hall,The Perry Como Show,0,1948,1967,60,Music,7.6,126
tt0040049,tvSeries,The Philco Television Playhouse,The Philco Television Playhouse,0,1948,1956,60,Drama,7.4,140
tt0040051,tvSeries,Studio One,Studio One,0,1948,1958,60,Drama,7.5,344
tt0040053,tvSeries,The Ed Sullivan Show,Toast of the Town,0,1948,1971,60,"Music, Talk-Show",7.9,1605
tt0041007,tvSeries,The Big Story,The Big Story,0,1949,1959,30,Drama,6.7,64
tt0041015,tvSeries,Cavalcade of Stars,Cavalcade of Stars,0,1949,1952,60,"Comedy, Family, Music",7.9,67
tt0041021,tvSeries,The Ed Wynn Show,The Ed Wynn Show,0,1949,1950,30,"Comedy, Music",6.8,67
tt0041023,tvSeries,Fireside Theatre,Fireside Theatre,0,1949,1955,30,Drama,7.4,102
tt0041024,tvSeries,The Ford Television Theatre,The Ford Television Theatre,0,1952,1957,30,Drama,7.1,286
tt0041027,tvSeries,The Goldbergs,The Goldbergs,0,1949,1957,30,Comedy,7.4,227
tt0041030,tvSeries,Hopalong Cassidy,Hopalong Cassidy,0,1952,1954,60,Western,7.6,412
tt0041036,tvSeries,The Life of Riley,The Life of Riley,0,1948,1950,30,Comedy,7.0,139
tt0041037,tvSeries,Lights Out,Lights Out,0,1946,1952,30,"Horror, Mystery, Sci-Fi",6.9,218
tt0041038,tvSeries,The Lone Ranger,The Lone Ranger,0,1949,1957,30,Western,7.7,3036
tt0041039,tvSeries,Mama,Mama,0,1949,1957,30,"Comedy, Drama, Family",8.1,197
tt0041040,tvSeries,Man Against Crime,Man Against Crime,0,1949,1954,30,"Action, Crime, Drama",7.3,112
tt0041042,tvSeries,Martin Kane,"Martin Kane, Private Eye",0,1949,1954,30,"Crime, Drama",6.9,83
tt0041053,tvSeries,The Silver Theatre,The Silver Theatre,0,1949,1950,30,"Drama, Romance",6.9,32
tt0041061,tvSeries,Suspense,Suspense,0,1949,1954,25,"Drama, Horror, Mystery",7.4,369
tt0041076,tvSeries,Your Show Time,Your Show Time,0,1949,1949,30,Drama,7.1,33
tt0042069,tvSeries,The Adventures of Ellery Queen,The Adventures of Ellery Queen,0,1950,1956,30,"Crime, Drama, Mystery",6.4,72
tt0042074,tvSeries,Armstrong Circle Theatre,Armstrong Circle Theatre,0,1950,1963,60,Drama,7.6,129
tt0042078,tvSeries,The Arthur Murray Party,The Arthur Murray Party,0,1950,1960,30,"Family, Music",5.1,31
tt0042081,tvSeries,Beulah,Beulah,0,1950,1953,30,Comedy,7.6,164
tt0042083,tvSeries,Big Town,Big Town,0,1950,1956,30,Drama,7.4,64
tt0042093,tvSeries,The Cisco Kid,The Cisco Kid,0,1950,1956,30,Western,7.1,664
tt0042094,tvSeries,The Colgate Comedy Hour,The Colgate Comedy Hour,0,1950,1955,60,"Comedy, Romance",7.7,605
tt0042097,tvSeries,Crusader Rabbit,Crusader Rabbit,0,1950,1957,4,"Adventure, Animation, Family",7.0,181
tt0042098,tvSeries,Danger,Danger,0,1950,1955,30,Drama,7.3,104
tt0042100,tvSeries,Dick Tracy,Dick Tracy,0,1950,1952,30,"Crime, Drama",6.7,163
tt0042106,tvSeries,All Star Revue,Four Star Revue,0,1950,,60,Comedy,8.2,171
tt0042110,tvSeries,The Gene Autry Show,The Gene Autry Show,0,1950,1955,30,Western,7.1,271
tt0042111,tvSeries,The George Burns and Gracie Allen Show,The George Burns and Gracie Allen Show,0,1950,1958,30,Comedy,8.6,1577
tt0042114,tvSeries,The Honeymooners,The Honeymooners,0,1955,1956,30,"Comedy, Family",8.6,6457
tt0042116,tvSeries,The Jack Benny Program,The Jack Benny Program,0,1950,1965,30,Comedy,8.5,1707
tt0042123,tvSeries,Lux Video Theatre,Lux Video Theatre,0,1950,1959,30,"Comedy, Drama",7.3,164
tt0042127,tvSeries,Nash Airflyte Theatre,Nash Airflyte Theatre,0,1950,1951,30,Drama,6.0,38
tt0042139,tvSeries,Racket Squad,Racket Squad,0,1950,1953,30,"Crime, Drama",7.5,164
tt0042141,tvSeries,Robert Montgomery Presents,Robert Montgomery Presents,0,1950,1957,60,Drama,7.6,145
tt0042142,tvSeries,"Rocky King, Detective",Inside Detective,0,1950,1954,30,"Action, Crime, Drama",7.6,80
tt0042151,tvSeries,The Stu Erwin Show,The Stu Erwin Show,0,1950,1955,30,Comedy,6.8,141
tt0042156,tvSeries,"Tom Corbett, Space Cadet","Tom Corbett, Space Cadet",0,1950,1955,15,"Action, Adventure, Family",7.0,116
tt0042159,tvSeries,Treasury Men in Action,Treasury Men in Action,0,1950,1955,30,"Crime, Drama",7.0,76
tt0042168,tvSeries,What's My Line?,What's My Line?,0,1950,1967,30,"Family, Game-Show",8.5,1821
tt0042171,tvSeries,You Bet Your Life,You Bet Your Life,0,1950,1961,30,"Comedy, Family, Game-Show",8.5,794
tt0043169,tvSeries,The Adventures of Kit Carson,The Adventures of Kit Carson,0,1951,1960,30,Western,6.8,140
tt0043170,tvSeries,Adventures of Wild Bill Hickok,Adventures of Wild Bill Hickok,0,1951,1958,30,"Family, Western",7.6,240
tt0043175,tvSeries,The Amos 'n Andy Show,The Amos 'n Andy Show,0,1951,1953,30,Comedy,8.6,861
tt0043182,tvSeries,Boston Blackie,Boston Blackie,0,1951,1953,30,"Crime, Drama",7.5,149
tt0043183,tvSeries,Celanese Theatre,Celanese Theatre,0,1951,1952,60,Drama,6.9,52
tt0043192,tvSeries,The Dinah Shore Chevy Show,The Dinah Shore Chevy Show,0,1956,1963,60,Music,8.0,248
tt0043194,tvSeries,Dragnet,Dragnet,0,1951,1959,30,"Crime, Drama, Mystery",7.5,2469
tt0043199,tvSeries,Foreign Intrigue,Foreign Intrigue,0,1951,1955,30,"Crime, Mystery, Thriller",7.4,57
tt0043201,tvSeries,Front Page Detective,Front Page Detective,0,1951,1953,30,"Crime, Drama, Mystery",6.1,60
tt0043204,tvSeries,Goodyear Playhouse,Goodyear Television Playhouse,0,1951,1957,60,Drama,7.6,117
tt0043208,tvSeries,I Love Lucy,I Love Lucy,0,1951,1957,30,Comedy,8.5,29672
tt0043215,tvSeries,Mark Saber,Mark Saber,0,1951,1953,30,Drama,6.9,30
tt0043223,tvSeries,The Range Rider,The Range Rider,0,1951,1953,30,Western,7.5,187
tt0043224,tvSeries,The Red Skelton Hour,The Red Skelton Show,0,1951,1971,60,Comedy,8.1,1437
tt0043225,tvSeries,The Roy Rogers Show,The Roy Rogers Show,0,1951,2014,30,"Family, Western",7.1,756
tt0043228,tvSeries,Schlitz Playhouse,Schlitz Playhouse of Stars,0,1951,1959,30,"Comedy, Drama",7.5,352
tt0043229,tvSeries,Search for Tomorrow,Search for Tomorrow,0,1951,1986,30,"Drama, Romance",7.1,341
tt0043232,tvSeries,Sky King,Sky King,0,1951,1962,30,"Adventure, Drama, Family",7.7,590
tt0043234,tvSeries,Space Patrol,Space Patrol,0,1950,1955,30,"Action, Adventure, Family",6.8,172
tt0043238,tvSeries,Tales of Tomorrow,Tales of Tomorrow,0,1951,1953,25,"Drama, Horror, Mystery",7.0,492
tt0044229,tvSeries,The Abbott and Costello Show,The Abbott and Costello Show,0,1952,1957,25,"Comedy, Family, Mystery",8.1,1397
tt0044230,tvSeries,The Adventures of Ozzie and Harriet,The Adventures of Ozzie and Harriet,0,1952,1966,30,"Comedy, Drama, Family",7.4,1687
tt0044231,tvSeries,Adventures of Superman,Adventures of Superman,0,1952,1958,30,"Action, Adventure, Crime",7.7,4652
tt0044238,tvSeries,"Biff Baker, U.S.A.","Biff Baker, U.S.A.",0,1952,1954,30,Adventure,7.4,77
